A	(A)[N]
abendelang	((Abend)[N],(e)[A|N.A],(lang)[A])[A]
Abendessen	((Abend)[N],((essen)[F])[N])[N]
abendfuellend	((Abend)[N],(fuellend)[F])[A]
Abendgymnasium	((Abend)[N],((gymnas)[R],(ium)[N|R.])[N])[N]
Abendkleid	((Abend)[N],(Kleid)[N])[N]
Abendkurs	((Abend)[N],(Kurs)[N])[N]
Abendkursus	((Abend)[N],((Kurs)[N],(us)[N|N.])[N])[N]
Abendland	((Abend)[N],(Land)[N])[N]
Abendlaender	(((Abend)[N],(Land)[N])[N],(er)[N|N.])[N]
abendlaendisch	(((Abend)[N],(Land)[N])[N],(isch)[A|N.])[A]
abendlich	((Abend)[N],(lich)[A|N.])[A]
Abendmahl	((Abend)[N],(Mahl)[N])[N]
Abendprogramm	((Abend)[N],(Programm)[N])[N]
Abendrot	((Abend)[N],((rot)[A])[N])[N]
Abendroete	((Abend)[N],((rot)[A],(e)[N|A.])[N])[N]
abends	((Abends)[F])[B]
abenteuern	((Abenteuer)[N])[V]
Abenteuer	(Abenteuer)[N]
Abenteuerin	((Abenteuer)[N],(in)[N|N.])[N]
abenteuerlich	((Abenteuer)[N],(lich)[A|N.])[A]
Abenteuerlust	(((Abenteuer)[N])[V],(Lust)[N])[N]
Abenteurer	((Abenteuer)[N],(er)[N|N.])[N]
Abenteurerin	(((Abenteuer)[N],(er)[N|N.])[N],(in)[N|N.])[N]
aber	(aber)[C]
aber	(aber)[B]
Aberglaube	((aber)[N|.N],((glaub)[V],(e)[N|V.])[N])[N]
Aberglauben	((aber)[N|.N],((glauben)[F])[N])[N]
aberglaeubig	(((aber)[N|.N],((glaub)[V],(e)[N|V.])[N])[N],(ig)[A|N.])[A]
aberglaeubisch	(((aber)[N|.N],((glaub)[V],(e)[N|V.])[N])[N],(isch)[A|N.])[A]
aberhundert	((aber)[Q|.Q],(hundert)[Q])[Q]
aberkennen	((ab)[V|.V],((er)[V|.V],(kenn)[V])[V])[V]
Aberkennung	(((ab)[V|.V],((er)[V|.V],(kenn)[V])[V])[V],(ung)[N|V.])[N]
abermalig	((aber)[A|.Nx],(Mal)[N],(ig)[A|xN.])[A]
abermals	((aber)[B|.Nx],(Mal)[N],(s)[B|xN.])[B]
abertausend	((aber)[Q|.Q],(tausend)[Q])[Q]
Aberwitz	((aber)[N|.N],(Witz)[N])[N]
aberwitzig	(((aber)[N|.N],(Witz)[N])[N],(ig)[A|N.])[A]
abessen	((ab)[V|.V],(ess)[V])[V]
abessinisch	(((ab)[V|.V],(ess)[V])[V],(inisch)[A|V.])[A]
abfackeln	((ab)[V|.V],((Fackel)[N])[V])[V]
abfaedeln	((ab)[V|.V],((Faden)[N],(el)[V|N.])[V])[V]
abfahren	((ab)[V|.V],(fahr)[V])[V]
Abfahrt	((Abfahrt)[F])[N]
Abfahrtszeit	(((Abfahrt)[F])[N],(s)[N|N.N],(Zeit)[N])[N]
abfallen	((ab)[V|.V],(fall)[V])[V]
Abfall	(((ab)[V|.V],(fall)[V])[V])[N]
Abfalleimer	((((ab)[V|.V],(fall)[V])[V])[N],(Eimer)[N])[N]
abfaellig	(((ab)[V|.V],(fall)[V])[V],(ig)[A|V.])[A]
Abfallprodukt	(((ab)[V|.V],(fall)[V])[V],(Produkt)[N])[N]
abfaelschen	((ab)[V|.V],((falsch)[A])[V])[V]
abfangen	((ab)[V|.V],(fang)[V])[V]
abfaerben	((ab)[V|.V],((Farbe)[N])[V])[V]
abfasen	((ab)[V|.V],(fas)[V])[V]
abfassen	((ab)[V|.V],((Fass)[N])[V])[V]
Abfassung	(((ab)[V|.V],((Fass)[N])[V])[V],(ung)[N|V.])[N]
abfaulen	((ab)[V|.V],((faul)[A])[V])[V]
abfedern	((ab)[V|.V],((Feder)[N])[V])[V]
abfeilen	((ab)[V|.V],((Feile)[N])[V])[V]
abfertigen	((ab)[V|.V],((fertig)[A])[V])[V]
Abfertigung	(((ab)[V|.V],((fertig)[A])[V])[V],(ung)[N|V.])[N]
abfeuern	((ab)[V|.V],((Feuer)[N])[V])[V]
abfieren	((ab)[V|.V],(fier)[V])[V]
abfinden	((ab)[V|.V],(find)[V])[V]
Abfindung	(((ab)[V|.V],(find)[V])[V],(ung)[N|V.])[N]
Abfindungssumme	((((ab)[V|.V],(find)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Summe)[N])[N]
abflachen	((ab)[V|.A],(flach)[A])[V]
abflauen	(abflau)[V]
abfliegen	((ab)[V|.V],(flieg)[V])[V]
abfliessen	((ab)[V|.V],(fliess)[V])[V]
Abflug	(((ab)[V|.V],(flieg)[V])[V])[N]
Abfluss	(((ab)[V|.V],(fliess)[V])[V])[N]
Abflusshahn	((((ab)[V|.V],(fliess)[V])[V])[N],(Hahn)[N])[N]
Abfolge	((ab)[N|.N],((folg)[V],(e)[N|V.])[N])[N]
abfotografieren	((ab)[V|.V],((Fotografie)[N],(ier)[V|N.])[V])[V]
abfragen	((ab)[V|.V],(frag)[V])[V]
abfressen	((ab)[V|.V],(fress)[V])[V]
abfretten	((ab)[V|.V],(frett)[V])[V]
abfrieren	((ab)[V|.V],(frier)[V])[V]
abfrottieren	((ab)[V|.V],(frottier)[V])[V]
abfuehlen	((ab)[V|.V],(fuehl)[V])[V]
abfuehren	((ab)[V|.V],(fuehr)[V])[V]
Abfuhr	(((ab)[V|.V],(fuehr)[V])[V])[N]
Abfuehrmittel	(((ab)[V|.V],(fuehr)[V])[V],(Mittel)[N])[N]
Abfuehrung	(((ab)[V|.V],(fuehr)[V])[V],(ung)[N|V.])[N]
abfuellen	((ab)[V|.V],(fuell)[V])[V]
abfuettern	((ab)[V|.V],((Futter)[N])[V])[V]
Abfuetterung	(((ab)[V|.V],((Futter)[N])[V])[V],(ung)[N|V.])[N]
Abgabe	(((ab)[V|.V],(geb)[V])[V])[N]
abgabenfrei	((((ab)[V|.V],(geb)[V])[V])[N],(n)[A|N.x],(frei)[A|Nx.])[A]
abgabenpflichtig	((((ab)[V|.V],(geb)[V])[V])[N],(n)[A|N.Nx],((pfleg)[V])[N],(ig)[A|NxN.])[A]
Abgabesoll	((((ab)[V|.V],(geb)[V])[V])[N],((soll)[V])[N])[N]
Abgang	(((ab)[V|.V],(geh)[V])[V])[N]
Abgaenger	((((ab)[V|.V],(geh)[V])[V])[N],(er)[N|N.])[N]
abgaengig	((((ab)[V|.V],(geh)[V])[V])[N],(ig)[A|N.])[A]
Abgangszeugnis	((((ab)[V|.V],(geh)[V])[V])[N],(s)[N|N.N],((zeug)[V],(nis)[N|V.])[N])[N]
Abgas	((ab)[N|.N],(Gas)[N])[N]
abgasfrei	(((ab)[N|.N],(Gas)[N])[N],(frei)[A|N.])[A]
abgeben	((ab)[V|.V],(geb)[V])[V]
abgeblasst	((abgeblasst)[F])[A]
abgebrannt	((abgebrannt)[F])[A]
abgebrueht	((abgebrueht)[F])[A]
abgedroschen	((abgedroschen)[F])[A]
abgefeimt	((abgefeimt)[F])[A]
Abgefeimtheit	(((abgefeimt)[F])[A],(heit)[N|A.])[N]
abgegriffen	((abgegriffen)[F])[A]
abgehen	((ab)[V|.V],(geh)[V])[V]
abgehackt	((abgehackt)[F])[A]
abgekaempft	((abgekaempft)[F])[A]
abgekartet	((abgekartet)[F])[A]
abgeklaert	((abgeklaert)[F])[A]
Abgeklaertheit	(((abgeklaert)[F])[A],(heit)[N|A.])[N]
Abgeld	((ab)[N|.N],(Geld)[N])[N]
abgelebt	((abgelebt)[F])[A]
abgeledert	((abgeledert)[F])[A]
abgelegen	((abgelegen)[F])[A]
abgeleiert	((abgeleiert)[F])[A]
abgelten	((ab)[V|.V],(gelt)[V])[V]
Abgeltung	(((ab)[V|.V],(gelt)[V])[V],(ung)[N|V.])[N]
abgemacht	((abgemacht)[F])[A]
abgemessen	((abgemessen)[F])[A]
abgeneigt	((abgeneigt)[F])[A]
abgenutzt	((abgenutzt)[F])[A]
abgeordnet	((abgeordnet)[F])[A]
Abgeordnete	((abgeordnete)[F])[N]
Abgeordnetenhaus	(((abgeordnete)[F])[N],(n)[N|N.N],(Haus)[N])[N]
abgerissen	((abgerissen)[F])[A]
abgerundet	((abgerundet)[F])[A]
abgesagt	((abgesaegt)[F])[A]
Abgesandte	((abgesandt)[F],(e)[N|F.])[N]
Abgesang	((ab)[N|.N],((ge)[N|.N],((sing)[V])[N])[N])[N]
abgeschabt	((abgeschabt)[F])[A]
abgeschieden	((abgeschieden)[F])[A]
Abgeschiedenheit	(((abgeschieden)[F])[A],(heit)[N|A.])[N]
abgeschlagen	((abgeschlagen)[F])[A]
abgeschlossen	((abgeschlossen)[F])[A]
abgeschmackt	(abgeschmackt)[A]
Abgeschmacktheit	((abgeschmackt)[A],(heit)[N|A.])[N]
abgesehen	((abgesehen)[F])[A]
abgesondert	((abgesondert)[F])[A]
abgespannt	((abgespannt)[F])[A]
abgespielt	((abgespielt)[F])[A]
abgestanden	((abgestanden)[F])[A]
abgestorben	((abgestorben)[F])[A]
abgestossen	((abgestossen)[F])[A]
abgestuft	((abgestuft)[F])[A]
abgestumpft	((abgestumpft)[F])[A]
Abgestumpftheit	(((abgestumpft)[F])[A],(heit)[N|A.])[N]
abgetakelt	((abgetakelt)[F])[A]
abgetan	((abgetan)[F])[A]
abgetragen	((abgetragen)[F])[A]
abgewinnen	((ab)[V|.V],(gewinn)[V])[V]
abgewogen	((abgewogen)[F])[A]
Abgewogenheit	(((abgewogen)[F])[A],(heit)[N|A.])[N]
abgewoehnen	((ab)[V|.V],(gewoehn)[V])[V]
abgezogen	((abgezogen)[F])[A]
abgiessen	((ab)[V|.V],(giess)[V])[V]
Abglanz	((ab)[N|.N],((glaenz)[V])[N])[N]
abgleichen	((ab)[V|.V],((gleich)[A])[V])[V]
abgleiten	((ab)[V|.V],(gleit)[V])[V]
abglitschen	((ab)[V|.V],(glitsch)[V])[V]
Abgott	((ab)[N|.N],(Gott)[N])[N]
Abgoetterei	(((ab)[N|.N],(Gott)[N])[N],(erei)[N|N.])[N]
abgoettisch	(((ab)[N|.N],(Gott)[N])[N],(isch)[A|N.])[A]
Abgottschlange	(((ab)[N|.N],(Gott)[N])[N],((schling)[V],(e)[N|V.])[N])[N]
abgraben	((ab)[V|.V],(grab)[V])[V]
abgrasen	((ab)[V|.V],((Gras)[N])[V])[V]
abgraetschen	((ab)[V|.V],(graetsch)[V])[V]
abgreifen	((ab)[V|.V],(greif)[V])[V]
abgrenzen	((ab)[V|.V],(grenz)[V])[V]
Abgrenzung	(((ab)[V|.V],(grenz)[V])[V],(ung)[N|V.])[N]
Abgrund	((ab)[N|.N],(Grund)[N])[N]
abgruendig	(((ab)[N|.N],(Grund)[N])[N],(ig)[A|N.])[A]
abgrundtief	(((ab)[N|.N],(Grund)[N])[N],(tief)[A])[A]
abgucken	((ab)[V|.V],(guck)[V])[V]
Abguss	(((ab)[V|.V],(giess)[V])[V])[N]
abhaben	((ab)[V|.V],(hab)[V])[V]
abhacken	((ab)[V|.V],(hack)[V])[V]
abhaken	((ab)[V|.V],(hak)[V])[V]
abhaekeln	((ab)[V|.V],((Haken)[N],(el)[V|N.])[V])[V]
abhalftern	((ab)[V|.V],((Halfter)[N])[V])[V]
abhalten	((ab)[V|.V],(halt)[V])[V]
Abhaltung	(((ab)[V|.V],(halt)[V])[V],(ung)[N|V.])[N]
abhandeln	((ab)[V|.V],(handel)[V])[V]
abhanden	((ab)[B|.Nx],(Hand)[N],(en)[B|xN.])[B]
Abhandlung	(((ab)[V|.V],(handel)[V])[V],(ung)[N|V.])[N]
abhaengen	((ab)[V|.V],(haeng)[V])[V]
Abhang	((ab)[N|.N],((haeng)[V])[N])[N]
abhaengig	(((ab)[V|.V],(haeng)[V])[V],(ig)[A|V.])[A]
Abhaengigkeit	((((ab)[V|.V],(haeng)[V])[V],(ig)[A|V.])[A],(keit)[N|A.])[N]
Abhaengigkeitsverhaeltnis	(((((ab)[V|.V],(haeng)[V])[V],(ig)[A|V.])[A],(keit)[N|A.])[N],(s)[N|N.N],(((ver)[V|.V],(halt)[V])[V],(nis)[N|V.])[N])[N]
abhaermen	((ab)[V|.V],((Harm)[N])[V])[V]
abhaerten	((ab)[V|.V],((hart)[A])[V])[V]
Abhaertung	(((ab)[V|.V],((hart)[A])[V])[V],(ung)[N|V.])[N]
abhauen	((ab)[V|.V],(hau)[V])[V]
abheben	((ab)[V|.V],(heb)[V])[V]
abhebern	(((ab)[V|.V],(heb)[V])[V],(er)[V|V.])[V]
abheften	((ab)[V|.V],(heft)[V])[V]
abhelfen	((ab)[V|.V],(helf)[V])[V]
abhetzen	((ab)[V|.V],(hetz)[V])[V]
abheuern	((ab)[V|.V],(heuer)[V])[V]
Abhilfe	(((ab)[V|.V],(helf)[V])[V])[N]
Abhitze	((ab)[N|.N],(Hitze)[N])[N]
abholen	((ab)[V|.V],(hol)[V])[V]
abhold	((ab)[A|.A],(hold)[A])[A]
Abholer	(((ab)[V|.V],(hol)[V])[V],(er)[N|V.])[N]
abholzen	((ab)[V|.V],((Holz)[N])[V])[V]
Abholzung	(((ab)[V|.V],((Holz)[N])[V])[V],(ung)[N|V.])[N]
abhoeren	((ab)[V|.V],(hoer)[V])[V]
abhorchen	((ab)[V|.V],(horch)[V])[V]
abirren	((ab)[V|.V],((irre)[A])[V])[V]
Abiturient	((Abitur)[N],(ient)[N|N.])[N]
Abiturientin	(((Abitur)[N],(ient)[N|N.])[N],(in)[N|N.])[N]
Abjudikation	((abjudiz)[R],(ation)[N|R.])[N]
abjudizieren	((ab)[V|.V],((judiz)[R],(ier)[V|R.])[V])[V]
abkaemmen	((ab)[V|.V],((Kamm)[N])[V])[V]
abkaempfen	((ab)[V|.V],(kaempf)[V])[V]
abkanzeln	((ab)[V|.N],(Kanzel)[N])[V]
Abkanzelung	(((ab)[V|.N],(Kanzel)[N])[V],(ung)[N|V.])[N]
abkapiteln	((ab)[V|.N],(Kapitel)[N])[V]
abkapseln	((ab)[V|.N],(Kapsel)[N])[V]
Abkapselung	(((ab)[V|.N],(Kapsel)[N])[V],(ung)[N|V.])[N]
Abkapslung	(((ab)[V|.N],(Kapsel)[N])[V],(ung)[N|V.])[N]
abkarten	((ab)[V|.V],((Karte)[N])[V])[V]
abkassieren	((ab)[V|.V],((Kasse)[N],(ier)[V|N.])[V])[V]
abkaufen	((ab)[V|.V],(kauf)[V])[V]
abkehren	((ab)[V|.V],(kehr)[V])[V]
Abkehr	(((ab)[V|.V],(kehr)[V])[V])[N]
abkippen	((ab)[V|.V],(kipp)[V])[V]
abklappern	((ab)[V|.V],((klapp)[V],(er)[V|V.])[V])[V]
abklaeren	((ab)[V|.V],((klar)[A])[V])[V]
abklatschen	((ab)[V|.V],(klatsch)[V])[V]
Abklatsch	(((ab)[V|.V],(klatsch)[V])[V])[N]
abklemmen	((ab)[V|.V],(klemm)[V])[V]
abklingen	((ab)[V|.V],(kling)[V])[V]
abklopfen	((ab)[V|.V],(klopf)[V])[V]
abknabbern	((ab)[V|.V],(knabber)[V])[V]
abknallen	((ab)[V|.V],(knall)[V])[V]
abknappen	((ab)[V|.V],(knapp)[V])[V]
abknapsen	((ab)[V|.V],(knaps)[V])[V]
abknicken	((ab)[V|.V],(knick)[V])[V]
abknoepfen	((ab)[V|.V],((Knopf)[N])[V])[V]
abkochen	((ab)[V|.V],(koch)[V])[V]
abkommen	((ab)[V|.V],(komm)[V])[V]
abkommandieren	((ab)[V|.V],((kommand)[R],(ier)[V|R.])[V])[V]
Abkomme	(((ab)[V|.V],(komm)[V])[V],(e)[N|V.])[N]
Abkommen	((ab)[N|.F],(kommen)[F])[N]
Abkommenschaft	(((ab)[N|.F],(kommen)[F])[N],(schaft)[N|N.])[N]
abkoemmlich	(((ab)[V|.V],(komm)[V])[V],(lich)[A|V.])[A]
Abkoemmling	((((ab)[V|.V],(komm)[V])[V],(e)[N|V.])[N],(ling)[N|N.])[N]
abkoennen	((ab)[V|.V],(koenn)[V])[V]
abkonterfeien	((ab)[V|.V],((Konterfei)[N])[V])[V]
abkoppeln	((ab)[V|.V],((Koppel)[N])[V])[V]
abkragen	((ab)[V|.N],(Kragen)[N])[V]
abkratzen	((ab)[V|.V],(kratz)[V])[V]
abkriegen	((ab)[V|.V],(krieg)[V])[V]
abkuehlen	((ab)[V|.V],((kuehl)[A])[V])[V]
abkuendigen	((ab)[V|.V],(((Kunde)[N])[V],(ig)[V|V.])[V])[V]
Abkunft	(((ab)[V|.V],(komm)[V])[V])[N]
abkupfern	((ab)[V|.N],(Kupfer)[N])[V]
abkuerzen	((ab)[V|.V],((kurz)[A])[V])[V]
Abkuerzung	(((ab)[V|.V],((kurz)[A])[V])[V],(ung)[N|V.])[N]
Abkuerzungssprache	((((ab)[V|.V],((kurz)[A])[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((sprech)[V])[N])[N]
Abkuerzungsverzeichnis	((((ab)[V|.V],((kurz)[A])[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(((ver)[V|.V],((Zeichen)[N])[V])[V],(nis)[N|V.])[N])[N]
Abkuerzungszeichen	((((ab)[V|.V],((kurz)[A])[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Zeichen)[N])[N]
abladen	((ab)[V|.V],(lad)[V])[V]
Abladeplatz	(((ab)[V|.V],(lad)[V])[V],(e)[N|V.N],(Platz)[N])[N]
Ablader	(((ab)[V|.V],(lad)[V])[V],(er)[N|V.])[N]
Abladung	(((ab)[V|.V],(lad)[V])[V],(ung)[N|V.])[N]
Ablage	(((ab)[V|.V],(leg)[V])[V])[N]
ablagern	((ab)[V|.V],((Lager)[N])[V])[V]
Ablagerung	(((ab)[V|.V],((Lager)[N])[V])[V],(ung)[N|V.])[N]
ablandig	((ab)[P],(Land)[N],(ig)[A|PN.])[A]
ablassen	((ab)[V|.V],(lass)[V])[V]
Ablass	(((ab)[V|.V],(lass)[V])[V])[N]
Ablassbrief	((((ab)[V|.V],(lass)[V])[V])[N],(Brief)[N])[N]
ablaufen	((ab)[V|.V],(lauf)[V])[V]
Ablauf	(((ab)[V|.V],(lauf)[V])[V])[N]
Ablaufrinne	(((ab)[V|.V],(lauf)[V])[V],((rinn)[V],(e)[N|V.])[N])[N]
ablaugen	((ab)[V|.V],((Lauge)[N])[V])[V]
ablauten	((ab)[V|.V],((laut)[A])[V])[V]
Ablaut	((ab)[N|.N],(((laut)[A])[V])[N])[N]
ableben	((ab)[V|.V],(leb)[V])[V]
Ableben	((ableben)[F])[N]
ablecken	((ab)[V|.V],((leck)[A])[V])[V]
abledern	((ab)[V|.V],((Leder)[N])[V])[V]
ablegen	((ab)[V|.V],(leg)[V])[V]
Ableger	(((ab)[V|.V],(leg)[V])[V],(er)[N|V.])[N]
ablehnen	((ab)[V|.V],(lehn)[V])[V]
Ablehnung	(((ab)[V|.V],(lehn)[V])[V],(ung)[N|V.])[N]
ableiern	((ab)[V|.V],((Leier)[N])[V])[V]
ableisten	((ab)[V|.V],(leist)[V])[V]
ableiten	((ab)[V|.V],(leit)[V])[V]
Ableitung	(((ab)[V|.V],(leit)[V])[V],(ung)[N|V.])[N]
Ableitungssilbe	((((ab)[V|.V],(leit)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Silbe)[N])[N]
ablenken	((ab)[V|.V],(lenk)[V])[V]
Ablenkung	(((ab)[V|.V],(lenk)[V])[V],(ung)[N|V.])[N]
Ablenkungsmanoever	((((ab)[V|.V],(lenk)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Manoever)[N])[N]
ablesen	((ab)[V|.V],(les)[V])[V]
Ableser	(((ab)[V|.V],(les)[V])[V],(er)[N|V.])[N]
ableugnen	((ab)[V|.V],(leugn)[V])[V]
ablichten	((ab)[V|.V],((licht)[A])[V])[V]
abliefern	((ab)[V|.V],(liefer)[V])[V]
Ablieferung	(((ab)[V|.V],(liefer)[V])[V],(ung)[N|V.])[N]
Ablieferungssoll	((((ab)[V|.V],(liefer)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((soll)[V])[N])[N]
abliegen	((ab)[V|.V],(lieg)[V])[V]
ablisten	((ab)[V|.V],((List)[N])[V])[V]
ablochen	((ab)[V|.V],((Loch)[N])[V])[V]
ablocken	((ab)[V|.V],(lock)[V])[V]
ablohnen	((ab)[V|.V],(lohn)[V])[V]
abloesen	((ab)[V|.V],((los)[B])[V])[V]
abloeschen	((ab)[V|.V],(loesch)[V])[V]
Abloese	(((ab)[V|.V],((los)[B])[V])[V],(e)[N|V.])[N]
Abloesung	(((ab)[V|.V],((los)[B])[V])[V],(ung)[N|V.])[N]
abluchsen	((ab)[V|.V],((Luchs)[N])[V])[V]
Abluft	((ab)[N|.N],(Luft)[N])[N]
abmachen	((ab)[V|.V],(mach)[V])[V]
Abmachung	(((ab)[V|.V],(mach)[V])[V],(ung)[N|V.])[N]
abmagern	((ab)[V|.A],(mager)[A])[V]
